打印行	 println
恶意	spite
怨恨	spite
不顾	spite
刁难	spite
欺侮	spite
局	bureau
司	bureau
处	bureau
社	bureau
所	bureau
熔炉	forge
铁工厂	forge
打制	forge
锻造	forge
伪造	forge
部	department
司	department
局	department
处	department
系	department
绊	trip
失足	trip
绊倒	trip
嗬	oh
哦	oh
唉呀	oh
灌木	bush
灌木丛	bush
矮树	bush
爱	love
喜欢	love
想象力	fancy
设想	fancy
爱好	fancy
激情	passion
热情	passion
爱好	passion
慈爱	affection
爱	affection
爱慕	affection
整理	arrangement
排列	arrangement
安排	arrangement
舒适	comfort
安慰	comfort
建议	suggestion
意见	suggestion
暗示	suggestion
含义	implication
暗示	implication
暗指	implication
爪	claw
脚爪	claw
螯	claw
懊悔	regret
抱歉	regret
打	strike
击	strike
罢工	strike
天	day
白昼	day
白天	day
分	cent
分币	cent
百	cent
专门小组	panel
面	panel
板	panel
版	edition
版本	edition
版次	edition
做	do
干	do
办	do
资源	resource
物力	resource
办法	resource
半年	semester
学期	semester
半学年	semester
同伴	companion
共事者	companion
伴侣	companion
陪伴	accompany
陪同	accompany
伴随	accompany
帮助	help
援助	help
帮手	help
杆	rod
竿	rod
棒	rod
捆扎	pack
挤满	pack
包	pack
拥抱	embrace
包括	embrace
包围	embrace
箱	box
盒	box
包箱	box
被单	sheet
纸张	sheet
薄板	sheet
影片	film
胶卷	film
薄层	film
石	stone
石头	stone
宝石	stone
剩下	remain
余留	remain
保持	remain
盾	shield
防护物	shield
保护	shield
保持	retain
保留	retain
保有	retain
使确信	assure
向	assure
保证	assure
从事	undertake
承担	undertake
保证	undertake
报答	reward
报酬	reward
通知	inform
向	inform
报告	inform
引用	quote
引证	quote
报价	quote
引用	quotation
引文	quotation
报价单	quotation
猛烈	violence
激烈	violence
暴力	violence
裂缝	crack
裂纹	crack
爆裂	crack
悲痛	sorrow
悲哀	sorrow
悲伤	sorrow
北	north
北方	north
北方的	north
后部	rear
后面	rear
背面	rear
颠倒	reverse
翻转	reverse
背面	reverse
衣服	clothes
服装	clothes
被褥	clothes
一部分	part
零件	part
本份	part
能力	ability
能耐	ability
本领	ability
人	person
人身	person
本人	person
物质	substance
实质	substance
本旨	substance
说	say
说明	say
比如说	say
比较	comparison
对照	comparison
比似	comparison
比较	compare
对照	compare
比作	compare
海港	harbour
港口	harbour
庇护	harbour
隐蔽处	shelter
掩蔽	shelter
庇护	shelter
边	border
边缘	border
边界	border
角	corner
犄角	corner
边远地区	corner
针	needle
缝补	needle
编织针	needle
鞭笞	whip
搅打	whip
鞭子	whip
薄的	thin
淡的	thin
变薄	thin
变成	become
成为	become
变得	become
改变	transform
改造	transform
变换	transform
年龄	age
时代	age
变老	age
热	heat
炎热	heat
变热	heat
去	go
走	go
变为	go
变化	variation
变动	variation
变异	variation
多样化	variety
种类	variety
变种	variety
设备	facility
容易	facility
便利	facility
讲述	tell
吩咐	tell
辨别	tell
争夺	contest
争取	contest
辩驳	contest
防御	defence
防务	defence
辩护	defence
解释	explain
为	explain
辩解	explain
解释	explanation
说明	explanation
辩解	explanation
争论	argue
争辩	argue
辩论	argue
样品	sample
